Data,Exportações - preços - índice (média 2018 = 100) - - - Fundação Centro de Estudos do Comércio Exterior (Funcex) - FUNCEX12_XPT12,
1977.01,51.48,
1977.02,51.61,
1977.03,55.92,
1977.04,57.57,
1977.05,59.49,
1977.06,63.34,
1977.07,58.64,
1977.08,57.31,
1977.09,53.8,
1977.10,52.14,
1977.11,50.36,
1977.12,52.67,
1978.01,54.52,
1978.02,52.27,
1978.03,52.2,
1978.04,51.47,
1978.05,51.2,
1978.06,50.74,
1978.07,51.47,
1978.08,51.07,
1978.09,51.14,
1978.10,51.73,
1978.11,52.27,
1978.12,51.27,
1979.01,52.94,
1979.02,53.27,
1979.03,53.46,
1979.04,54.2,
1979.05,54.73,
1979.06,56.18,
1979.07,58.44,
1979.08,58.5,
1979.09,59.37,
1979.10,60.75,
1979.11,61.22,
1979.12,63.53,
1980.01,61.81,
1980.02,61.61,
1980.03,60.82,
1980.04,61.81,
1980.05,61.88,
1980.06,62.28,
1980.07,60.22,
1980.08,62.54,
1980.09,63.13,
1980.10,63.93,
1980.11,62.48,
1980.12,61.54,
1981.01,63.07,
1981.02,62.34,
1981.03,63,
1981.04,61.94,
1981.05,61.35,
1981.06,59.29,
1981.07,58.69,
1981.08,58.63,
1981.09,57.57,
1981.10,55.71,
1981.11,56.71,
1981.12,58.69,
1982.01,59.09,
1982.02,58.37,
1982.03,58.5,
1982.04,56.91,
1982.05,57.77,
1982.06,58.56,
1982.07,56.85,
1982.08,55.25,
1982.09,54.66,
1982.10,53.73,
1982.11,55.32,
1982.12,56.31,
1983.01,55.58,
1983.02,55.58,
1983.03,53.66,
1983.04,53.33,
1983.05,52.53,
1983.06,52.2,
1983.07,53.53,
1983.08,54.39,
1983.09,54.26,
1983.10,54.06,
1983.11,54.33,
1983.12,53.93,
1984.01,55.52,
1984.02,55.98,
1984.03,55.85,
1984.04,55.58,
1984.05,55.98,
1984.06,58.16,
1984.07,57.83,
1984.08,56.77,
1984.09,55.25,
1984.10,54.06,
1984.11,53.93,
1984.12,54.58,
1985.01,53.98,
1985.02,54.98,
1985.03,53.85,
1985.04,52.59,
1985.05,51.47,
1985.06,51.73,
1985.07,49.74,
1985.08,50.08,
1985.09,50.8,
1985.10,51.47,
1985.11,50.87,
1985.12,51.13,
1986.01,51.61,
1986.02,55.98,
1986.03,56.71,
1986.04,54.33,
1986.05,54.33,
1986.06,52.6,
1986.07,51.67,
1986.08,52.07,
1986.09,52.2,
1986.10,54.12,
1986.11,54.79,
1986.12,54.33,
1987.01,53.19,
1987.02,52.46,
1987.03,51.87,
1987.04,51.01,
1987.05,51.54,
1987.06,53.06,
1987.07,54.06,
1987.08,57.76,
1987.09,57.83,
1987.10,54.91,
1987.11,54.78,
1987.12,53.79,
1988.01,55.72,
1988.02,56.32,
1988.03,57.24,
1988.04,58.77,
1988.05,59.16,
1988.06,59.76,
1988.07,61.29,
1988.08,62.35,
1988.09,62.01,
1988.10,62.15,
1988.11,62.81,
