Data,Importações - preços - índice (média 2018 = 100) - - - Fundação Centro de Estudos do Comércio Exterior (Funcex) - FUNCEX12_MDPT12,
1978.01,49.12,
1978.02,49.19,
1978.03,49.61,
1978.04,49.61,
1978.05,50.52,
1978.06,55.1,
1978.07,51.3,
1978.08,50.1,
1978.09,51.65,
1978.10,52.43,
1978.11,52.99,
1978.12,53.13,
1979.01,52.86,
1979.02,53.63,
1979.03,53.28,
1979.04,55.32,
1979.05,57.65,
1979.06,58.85,
1979.07,62.02,
1979.08,63.99,
1979.09,66.25,
1979.10,67.37,
1979.11,69.21,
1979.12,76.89,
1980.01,74.99,
1980.02,79.21,
1980.03,82.59,
1980.04,78.93,
1980.05,82.03,
1980.06,84.07,
1980.07,83.01,
1980.08,83.72,
1980.09,86.33,
1980.10,85.13,
1980.11,85.69,
1980.12,85.48,
1981.01,87.03,
1981.02,91.68,
1981.03,90.27,
1981.04,90.83,
1981.05,91.61,
1981.06,88.93,
1981.07,89.49,
1981.08,88.93,
1981.09,88.72,
1981.10,94.07,
1981.11,89.71,
1981.12,92.73,
1982.01,90.97,
1982.02,91.47,
1982.03,89.92,
1982.04,87.39,
1982.05,87.1,
1982.06,86.89,
1982.07,86.25,
1982.08,85.83,
1982.09,86.25,
1982.10,90.2,
1982.11,88.15,
1982.12,89.21,
1983.01,88.17,
1983.02,87.39,
1983.03,89.51,
1983.04,87.82,
1983.05,84.08,
1983.06,82.04,
1983.07,80.98,
1983.08,81.54,
1983.09,84.57,
1983.10,81.9,
1983.11,82.95,
1983.12,86.62,
1984.01,83.72,
1984.02,81.39,
1984.03,82.73,
1984.04,83.86,
1984.05,83.23,
1984.06,84.57,
1984.07,83.16,
1984.08,82.87,
1984.09,80.05,
1984.10,83.37,
1984.11,82.52,
1984.12,81.47,
1985.01,80.68,
1985.02,79.63,
1985.03,79.84,
1985.04,79.14,
1985.05,80.76,
1985.06,81.74,
1985.07,80.68,
1985.08,80.76,
1985.09,79.84,
1985.10,81.32,
1985.11,80.05,
1985.12,78.64,
1986.01,68.93,
1986.02,68.93,
1986.03,66.6,
1986.04,64.21,
1986.05,59.98,
1986.06,58.36,
1986.07,79.22,
1986.08,78.52,
1986.09,58.01,
1986.10,60.26,
1986.11,59.98,
1986.12,61.81,
1987.01,66.38,
1987.02,70.33,
1987.03,74.21,
1987.04,73.43,
1987.05,71.95,
1987.06,74.13,
1987.07,72.23,
1987.08,76.18,
1987.09,74.84,
1987.10,75.05,
1987.11,76.88,
1987.12,76.67,
1988.01,77.59,
1988.02,78.29,
1988.03,75.55,
1988.04,74.21,
1988.05,75.47,
1988.06,77.03,
1988.07,76.46,
1988.08,74.49,
1988.09,74.77,
1988.10,74.35,
1988.11,74.13,
1988.12,77.52,
1989.01,77.43,
1989.02,78.35,
1989.03,82.15,
1989.04,83.07,
1989.05,84.76,
1989.06,82.51,
1989.07,81.81,
1989.08,80.67,
1989.09,80.96,
1989.10,81.1,
1989.11,82.01,
1989.12,81.38,
1990.01,84.42,
1990.02,85.62,
1990.03,84.42,
1990.04,83.85,
1990.05,81.18,
1990.06,85.26,
1990.07,81.95,
1990.08,85.76,
1990.09,94.06,
1990.10,100.13,
1990.11,96.96,
1990.12,92.58,
1991.01,90.42,
1991.02,89.08,
1991.03,83.16,
1991.04,80.97,
1991.05,81.19,
1991.06,81.19,
1991.07,77.87,
1991.08,75.47,
1991.09,78.15,
1991.10,78.65,
1991.11,81.26,
1991.12,82.1,
1992.01,78.64,
1992.02,79.06,
1992.03,77.58,
1992.04,76.6,
1992.05,76.24,
1992.06,79.7,
1992.07,79.14,
1992.08,75.54,
1992.09,77.66,
1992.10,75.82,
1992.11,74.62,
1992.12,78.36,
1993.01,72.87,
1993.02,74.28,
1993.03,74.07,
1993.04,71.89,
1993.05,73.57,
1993.06,72.03,
1993.07,69.91,
1993.08,68.15,
1993.09,67.73,
1993.10,70.27,
1993.11,69.35,
1993.12,65.12,
1994.01,66.6,
1994.02,67.09,
1994.03,67.09,
1994.04,67.87,
1994.05,69.41,
1994.06,67.51,
1994.07,70.41,
1994.08,70.61,
1994.09,70.26,
1994.10,69.27,
1994.11,66.53,
1994.12,69.98,
1995.01,69.48,
1995.02,66.24,
1995.03,69.06,
1995.04,70.96,
1995.05,71.94,
1995.06,69.27,
1995.07,71.46,
1995.08,70.4,
1995.09,69.55,
1995.10,70.74,
1995.11,70.74,
1995.12,71.66,
1996.01,71.44,
1996.02,72.71,
1996.03,71.09,
1996.04,71.37,
1996.05,71.44,
1996.06,71.3,
1996.07,68.69,
1996.08,69.61,
1996.09,70.67,
1996.10,69.68,
1996.11,68.34,
1996.12,69.12,
1997.01,68.28,
1997.02,68.84,
1997.03,68.01,
1997.04,68.95,
1997.05,65.93,
1997.06,67.44,
1997.07,66.08,
1997.08,66.07,
1997.09,65.61,
1997.10,66.4,
1997.11,66.45,
1997.12,67.56,
1998.01,65.7,
1998.02,65.01,
1998.03,64.17,
1998.04,63.22,
1998.05,63.82,
1998.06,62.63,
1998.07,62.93,
1998.08,62.64,
1998.09,61.31,
1998.10,63.12,
1998.11,63.6,
